;JPM;AAPL;
2020-01-14T00:00:00.000000000;138.8;78.17;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-15T00:00:00.000000000;136.72;77.83;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-16T00:00:00.000000000;137.25;78.81;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-17T00:00:00.000000000;138.2;79.68;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-21T00:00:00.000000000;136.84;79.14;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-22T00:00:00.000000000;136.68;79.43;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-23T00:00:00.000000000;136.54;79.81;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-24T00:00:00.000000000;133.15;79.58;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-27T00:00:00.000000000;132.03;77.24;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-28T00:00:00.000000000;134.43;79.42;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-29T00:00:00.000000000;134.23;81.08;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-30T00:00:00.000000000;135.89;80.97;119122128129137207209217221225226246119122128129137207209217221225226246
2020-01-31T00:00:00.000000000;132.36;77.38;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-03T00:00:00.000000000;133.37;77.17;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-04T00:00:00.000000000;135.29;79.71;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-05T00:00:00.000000000;137.59;80.36;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-06T00:00:00.000000000;137.61;81.3;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-07T00:00:00.000000000;137.17;80.01;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-10T00:00:00.000000000;137.74;80.39;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-11T00:00:00.000000000;138.0;79.9;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-12T00:00:00.000000000;138.0;81.8;119122128129137207209217221225226246119122128129137207209217221225226246
2020-02-13T00:00:00.000000000;137.88;81.22;119122128129137207209217221225226246119122128129137207209217221225226246
