;AMZN;AAPL;
2020-03-13T00:00:00.000000000;1785.0;69.49;
2020-03-16T00:00:00.000000000;1689.15;60.55;
2020-03-17T00:00:00.000000000;1807.84;63.22;
2020-03-18T00:00:00.000000000;1830.0;61.67;
2020-03-19T00:00:00.000000000;1880.93;61.19;
2020-03-20T00:00:00.000000000;1846.09;57.31;
2020-03-23T00:00:00.000000000;1902.83;56.09;
2020-03-24T00:00:00.000000000;1940.1;61.72;
2020-03-25T00:00:00.000000000;1885.84;61.38;
2020-03-26T00:00:00.000000000;1955.49;64.61;
2020-03-27T00:00:00.000000000;1900.1;61.94;
2020-03-30T00:00:00.000000000;1963.95;63.7;
2020-03-31T00:00:00.000000000;1949.72;63.57;
2020-04-01T00:00:00.000000000;1907.7;60.23;
2020-04-02T00:00:00.000000000;1918.83;61.23;
2020-04-03T00:00:00.000000000;1906.59;60.35;
2020-04-06T00:00:00.000000000;1997.59;65.62;
2020-04-07T00:00:00.000000000;2011.6;64.86;
2020-04-08T00:00:00.000000000;2043.0;66.52;
2020-04-09T00:00:00.000000000;2042.76;67.0;
2020-04-13T00:00:00.000000000;2168.87;68.31;
2020-04-14T00:00:00.000000000;2283.32;71.76;
2020-04-15T00:00:00.000000000;2307.68;71.11;
2020-04-16T00:00:00.000000000;2408.19;71.67;
2020-04-17T00:00:00.000000000;2375.0;70.7;
2020-04-20T00:00:00.000000000;2393.61;69.23;
2020-04-21T00:00:00.000000000;2328.12;67.09;
2020-04-22T00:00:00.000000000;2363.49;69.03;
2020-04-23T00:00:00.000000000;2399.45;68.76;
2020-04-24T00:00:00.000000000;2410.22;70.74;
2020-04-27T00:00:00.000000000;2376.0;70.79;
2020-04-28T00:00:00.000000000;2314.08;69.64;
2020-04-29T00:00:00.000000000;2372.71;71.93;
2020-04-30T00:00:00.000000000;2474.0;73.45;
2020-05-01T00:00:00.000000000;2286.04;72.27;
2020-05-04T00:00:00.000000000;2315.99;73.29;
2020-05-05T00:00:00.000000000;2317.8;74.39;
2020-05-06T00:00:00.000000000;2351.26;75.16;
2020-05-07T00:00:00.000000000;2367.61;75.93;
2020-05-08T00:00:00.000000000;2379.61;77.53;
2020-05-11T00:00:00.000000000;2409.0;78.75;
2020-05-12T00:00:00.000000000;2356.95;77.85;
2020-05-13T00:00:00.000000000;2367.92;76.91;
2020-05-14T00:00:00.000000000;2388.85;77.39;
2020-05-15T00:00:00.000000000;2409.78;76.93;
2020-05-18T00:00:00.000000000;2426.26;78.74;
2020-05-19T00:00:00.000000000;2449.33;78.29;
2020-05-20T00:00:00.000000000;2497.94;79.81;
2020-05-21T00:00:00.000000000;2446.74;79.21;
2020-05-22T00:00:00.000000000;2436.88;79.72;
2020-05-26T00:00:00.000000000;2421.86;79.18;
2020-05-27T00:00:00.000000000;2410.39;79.53;
2020-05-28T00:00:00.000000000;2401.1;79.56;
2020-05-29T00:00:00.000000000;2442.37;79.49;
2020-06-01T00:00:00.000000000;2471.04;80.46;
2020-06-02T00:00:00.000000000;2472.41;80.83;
2020-06-03T00:00:00.000000000;2478.4;81.28;
2020-06-04T00:00:00.000000000;2460.6;80.58;
2020-06-05T00:00:00.000000000;2483.0;82.88;
2020-06-08T00:00:00.000000000;2524.06;83.36;
2020-06-09T00:00:00.000000000;2600.86;86.0;
2020-06-10T00:00:00.000000000;2647.45;88.21;
2020-06-11T00:00:00.000000000;2557.96;83.97;
2020-06-12T00:00:00.000000000;2545.02;84.7;
2020-06-15T00:00:00.000000000;2572.68;85.75;
2020-06-16T00:00:00.000000000;2615.27;88.02;
2020-06-17T00:00:00.000000000;2640.98;87.9;
2020-06-18T00:00:00.000000000;2653.98;87.93;
2020-06-19T00:00:00.000000000;2675.01;87.43;
