;AAPL;TSLA;
2020-03-13T00:00:00.000000000;69.49;39.83;
2020-03-16T00:00:00.000000000;60.55;28.46;
2020-03-17T00:00:00.000000000;63.22;22.83;
2020-03-18T00:00:00.000000000;61.67;10.58;
2020-03-19T00:00:00.000000000;61.19;24.33;
2020-03-20T00:00:00.000000000;57.31;28.2;
2020-03-23T00:00:00.000000000;56.09;30.77;
2020-03-24T00:00:00.000000000;61.72;39.28;
2020-03-25T00:00:00.000000000;61.38;46.47;
2020-03-26T00:00:00.000000000;64.61;41.02;
2020-03-27T00:00:00.000000000;61.94;40.94;
2020-03-30T00:00:00.000000000;63.7;36.72;
2020-03-31T00:00:00.000000000;63.57;41.23;
2020-04-01T00:00:00.000000000;60.23;36.08;
2020-04-02T00:00:00.000000000;61.23;29.66;
2020-04-03T00:00:00.000000000;60.35;35.65;
2020-04-06T00:00:00.000000000;65.62;37.63;
2020-04-07T00:00:00.000000000;64.86;44.23;
2020-04-08T00:00:00.000000000;66.52;43.25;
2020-04-09T00:00:00.000000000;67.0;47.6;
2020-04-13T00:00:00.000000000;68.31;61.88;
2020-04-14T00:00:00.000000000;71.76;70.22;
2020-04-15T00:00:00.000000000;71.11;74.86;
2020-04-16T00:00:00.000000000;71.67;77.37;
2020-04-17T00:00:00.000000000;70.7;80.08;
2020-04-20T00:00:00.000000000;69.23;80.04;
2020-04-21T00:00:00.000000000;67.09;70.25;
2020-04-22T00:00:00.000000000;69.03;77.4;
2020-04-23T00:00:00.000000000;68.76;72.37;
2020-04-24T00:00:00.000000000;70.74;74.29;
2020-04-27T00:00:00.000000000;70.79;88.96;
2020-04-28T00:00:00.000000000;69.64;84.18;
2020-04-29T00:00:00.000000000;71.93;88.17;
2020-04-30T00:00:00.000000000;73.45;82.93;
2020-05-01T00:00:00.000000000;72.27;68.0;
2020-05-04T00:00:00.000000000;73.29;78.95;
2020-05-05T00:00:00.000000000;74.39;79.25;
2020-05-06T00:00:00.000000000;75.16;81.36;
2020-05-07T00:00:00.000000000;75.93;80.07;
2020-05-08T00:00:00.000000000;77.53;86.35;
2020-05-11T00:00:00.000000000;78.75;83.51;
2020-05-12T00:00:00.000000000;77.85;84.03;
2020-05-13T00:00:00.000000000;76.91;81.28;
2020-05-14T00:00:00.000000000;77.39;83.28;
2020-05-15T00:00:00.000000000;76.93;82.91;
2020-05-18T00:00:00.000000000;78.74;83.99;
2020-05-19T00:00:00.000000000;78.29;83.32;
2020-05-20T00:00:00.000000000;79.81;83.3;
2020-05-21T00:00:00.000000000;79.21;86.31;
2020-05-22T00:00:00.000000000;79.72;83.65;
2020-05-26T00:00:00.000000000;79.18;84.59;
2020-05-27T00:00:00.000000000;79.53;84.52;
2020-05-28T00:00:00.000000000;79.56;81.6;
2020-05-29T00:00:00.000000000;79.49;87.51;
2020-06-01T00:00:00.000000000;80.46;99.16;
2020-06-02T00:00:00.000000000;80.83;95.48;
2020-06-03T00:00:00.000000000;81.28;95.31;
2020-06-04T00:00:00.000000000;80.58;92.3;
2020-06-05T00:00:00.000000000;82.88;94.26;
2020-06-08T00:00:00.000000000;83.36;106.62;
2020-06-09T00:00:00.000000000;86.0;102.14;
2020-06-10T00:00:00.000000000;88.21;116.8;
2020-06-11T00:00:00.000000000;83.97;110.59;
2020-06-12T00:00:00.000000000;84.7;102.36;
2020-06-15T00:00:00.000000000;85.75;112.43;
2020-06-16T00:00:00.000000000;88.02;108.41;
2020-06-17T00:00:00.000000000;87.9;110.46;
2020-06-18T00:00:00.000000000;87.93;112.86;
2020-06-19T00:00:00.000000000;87.43;112.75;
2020-06-22T00:00:00.000000000;89.72;109.15;
2020-06-23T00:00:00.000000000;91.63;108.72;
2020-06-24T00:00:00.000000000;90.01;102.15;
2020-06-25T00:00:00.000000000;91.21;105.99;
2020-06-26T00:00:00.000000000;88.41;103.54;
2020-06-29T00:00:00.000000000;90.44;111.42;
2020-06-30T00:00:00.000000000;91.2;124.76;
2020-07-01T00:00:00.000000000;91.03;132.9;
2020-07-02T00:00:00.000000000;91.03;150.7;
2020-07-06T00:00:00.000000000;93.46;180.85;
2020-07-07T00:00:00.000000000;93.17;184.8;
2020-07-08T00:00:00.000000000;95.34;177.83;
2020-07-09T00:00:00.000000000;95.75;183.1;
2020-07-10T00:00:00.000000000;95.92;213.01;
2020-07-13T00:00:00.000000000;95.48;203.93;
2020-07-14T00:00:00.000000000;97.06;206.3;
2020-07-15T00:00:00.000000000;97.72;211.48;
2020-07-16T00:00:00.000000000;96.52;203.61;
2020-07-17T00:00:00.000000000;96.33;203.84;
2020-07-20T00:00:00.000000000;98.36;230.24;
2020-07-21T00:00:00.000000000;97.0;216.67;
2020-07-22T00:00:00.000000000;97.27;221.19;
2020-07-23T00:00:00.000000000;92.85;209.77;
2020-07-24T00:00:00.000000000;92.61;190.78;
2020-07-27T00:00:00.000000000;94.81;213.11;
2020-07-28T00:00:00.000000000;93.25;202.05;
2020-07-29T00:00:00.000000000;95.04;204.78;
2020-07-30T00:00:00.000000000;96.19;201.31;
2020-07-31T00:00:00.000000000;106.26;179.89;
2020-08-03T00:00:00.000000000;108.94;188.06;
2020-08-04T00:00:00.000000000;109.67;187.73;
2020-08-05T00:00:00.000000000;110.06;186.94;
2020-08-06T00:00:00.000000000;113.9;184.01;
2020-08-07T00:00:00.000000000;111.11;179.43;
2020-08-10T00:00:00.000000000;112.73;170.99;
2020-08-11T00:00:00.000000000;109.38;165.5;
2020-08-12T00:00:00.000000000;113.01;197.94;
2020-08-13T00:00:00.000000000;115.01;209.19;
2020-08-14T00:00:00.000000000;114.91;215.23;
2020-08-17T00:00:00.000000000;114.61;252.52;
2020-08-18T00:00:00.000000000;115.56;261.86;
2020-08-19T00:00:00.000000000;115.71;260.0;
2020-08-20T00:00:00.000000000;118.28;282.09;
2020-08-21T00:00:00.000000000;124.37;285.63;
2020-08-24T00:00:00.000000000;125.86;276.98;
2020-08-25T00:00:00.000000000;124.82;279.84;
2020-08-26T00:00:00.000000000;126.52;304.11;
2020-08-27T00:00:00.000000000;125.01;322.74;
2020-08-28T00:00:00.000000000;124.81;317.87;
2020-08-31T00:00:00.000000000;129.04;369.28;
2020-09-01T00:00:00.000000000;134.18;340.87;
2020-09-02T00:00:00.000000000;131.4;315.97;
2020-09-03T00:00:00.000000000;120.88;286.12;
2020-09-04T00:00:00.000000000;120.96;297.36;
2020-09-08T00:00:00.000000000;112.82;217.39;
2020-09-09T00:00:00.000000000;117.32;248.96;
2020-09-10T00:00:00.000000000;113.49;257.85;
2020-09-11T00:00:00.000000000;112.0;260.72;
2020-09-14T00:00:00.000000000;115.36;304.26;
2020-09-15T00:00:00.000000000;115.54;334.22;
2020-09-16T00:00:00.000000000;112.13;329.63;
2020-09-17T00:00:00.000000000;110.34;313.09;
2020-09-18T00:00:00.000000000;106.84;335.31;
2020-09-21T00:00:00.000000000;110.08;339.31;
2020-09-22T00:00:00.000000000;111.81;312.42;
2020-09-23T00:00:00.000000000;107.12;273.24;
2020-09-24T00:00:00.000000000;108.22;279.57;
2020-09-25T00:00:00.000000000;112.28;295.06;
2020-09-28T00:00:00.000000000;114.96;306.24;
2020-09-29T00:00:00.000000000;114.09;304.98;
2020-09-30T00:00:00.000000000;115.81;313.2;
2020-10-01T00:00:00.000000000;116.79;331.37;
2020-10-02T00:00:00.000000000;113.02;302.07;
2020-10-05T00:00:00.000000000;116.5;309.18;
2020-10-06T00:00:00.000000000;113.16;300.82;
2020-10-07T00:00:00.000000000;115.08;310.22;
2020-10-08T00:00:00.000000000;114.97;310.95;
2020-10-09T00:00:00.000000000;116.97;317.03;
2020-10-12T00:00:00.000000000;124.4;317.9;
2020-10-13T00:00:00.000000000;121.1;325.55;
2020-10-14T00:00:00.000000000;121.19;340.11;
2020-10-15T00:00:00.000000000;120.71;328.17;
2020-10-16T00:00:00.000000000;119.02;320.65;
2020-10-19T00:00:00.000000000;115.98;314.85;
2020-10-20T00:00:00.000000000;117.51;304.43;
2020-10-21T00:00:00.000000000;116.87;305.77;
2020-10-22T00:00:00.000000000;115.75;310.04;
2020-10-23T00:00:00.000000000;115.04;305.59;
2020-10-26T00:00:00.000000000;115.05;305.23;
2020-10-27T00:00:00.000000000;116.6;308.08;
2020-10-28T00:00:00.000000000;111.2;294.82;
2020-10-29T00:00:00.000000000;115.32;295.51;
2020-10-30T00:00:00.000000000;108.86;279.18;
2020-11-02T00:00:00.000000000;108.77;291.74;
2020-11-03T00:00:00.000000000;110.44;313.46;
2020-11-04T00:00:00.000000000;114.95;306.03;
2020-11-05T00:00:00.000000000;119.03;319.06;
2020-11-06T00:00:00.000000000;118.69;311.26;
2020-11-09T00:00:00.000000000;116.32;304.94;
2020-11-10T00:00:00.000000000;115.97;294.39;
2020-11-11T00:00:00.000000000;119.49;297.64;
2020-11-12T00:00:00.000000000;119.21;292.55;
2020-11-13T00:00:00.000000000;119.26;289.24;
2020-11-16T00:00:00.000000000;120.3;287.79;
2020-11-17T00:00:00.000000000;119.39;322.22;
2020-11-18T00:00:00.000000000;118.03;368.61;
2020-11-19T00:00:00.000000000;118.64;380.63;
2020-11-20T00:00:00.000000000;117.34;372.27;
2020-11-23T00:00:00.000000000;113.85;408.0;
2020-11-24T00:00:00.000000000;115.17;440.21;
2020-11-25T00:00:00.000000000;116.03;457.97;
2020-11-27T00:00:00.000000000;116.59;469.17;
2020-11-30T00:00:00.000000000;119.05;448.55;
2020-12-01T00:00:00.000000000;122.72;462.04;
2020-12-02T00:00:00.000000000;123.08;445.74;
2020-12-03T00:00:00.000000000;122.94;470.44;
2020-12-04T00:00:00.000000000;122.25;476.79;
2020-12-07T00:00:00.000000000;123.75;518.01;
2020-12-08T00:00:00.000000000;124.38;525.5;
2020-12-09T00:00:00.000000000;121.78;482.7;
2020-12-10T00:00:00.000000000;123.24;503.83;
2020-12-11T00:00:00.000000000;122.41;487.58;
2020-12-14T00:00:00.000000000;121.78;518.05;
2020-12-15T00:00:00.000000000;127.88;505.37;
2020-12-16T00:00:00.000000000;127.81;494.96;
2020-12-17T00:00:00.000000000;128.7;527.2;
2020-12-18T00:00:00.000000000;126.66;568.34;
2020-12-21T00:00:00.000000000;128.23;521.63;
2020-12-22T00:00:00.000000000;131.88;508.46;
2020-12-23T00:00:00.000000000;130.96;515.02;
2020-12-24T00:00:00.000000000;131.97;529.8;
2020-12-28T00:00:00.000000000;136.69;527.0;
2020-12-29T00:00:00.000000000;134.87;531.12;
2020-12-30T00:00:00.000000000;133.72;561.06;
2020-12-31T00:00:00.000000000;132.69;572.98;
2021-01-04T00:00:00.000000000;129.41;600.36;
2021-01-05T00:00:00.000000000;131.01;604.1;
2021-01-06T00:00:00.000000000;126.6;629.38;
2021-01-07T00:00:00.000000000;130.92;685.12;
2021-01-08T00:00:00.000000000;132.05;747.97;
2021-01-11T00:00:00.000000000;128.98;682.21;
2021-01-12T00:00:00.000000000;128.8;720.64;
2021-01-13T00:00:00.000000000;130.89;723.52;
2021-01-14T00:00:00.000000000;128.91;716.09;
2021-01-15T00:00:00.000000000;127.14;699.02;
2021-01-19T00:00:00.000000000;127.83;716.72;
2021-01-20T00:00:00.000000000;132.03;718.42;
2021-01-21T00:00:00.000000000;136.87;708.12;
2021-01-22T00:00:00.000000000;139.07;707.57;
2021-01-25T00:00:00.000000000;142.92;737.88;
2021-01-26T00:00:00.000000000;143.16;739.93;
2021-01-27T00:00:00.000000000;142.06;722.1;
2021-01-28T00:00:00.000000000;137.09;698.34;
2021-01-29T00:00:00.000000000;131.96;661.57;
2021-02-01T00:00:00.000000000;134.14;705.67;
2021-02-02T00:00:00.000000000;134.99;737.8;
2021-02-03T00:00:00.000000000;133.94;720.75;
2021-02-04T00:00:00.000000000;137.39;712.6;
2021-02-05T00:00:00.000000000;136.76;715.47;
2021-02-08T00:00:00.000000000;136.91;726.51;
2021-02-09T00:00:00.000000000;136.01;713.45;
2021-02-10T00:00:00.000000000;135.39;669.43;
2021-02-11T00:00:00.000000000;135.13;676.53;
2021-02-12T00:00:00.000000000;135.37;680.75;
2021-02-16T00:00:00.000000000;133.19;663.03;
2021-02-17T00:00:00.000000000;130.84;667.31;
2021-02-18T00:00:00.000000000;129.71;657.67;
2021-02-19T00:00:00.000000000;129.87;651.43;
2021-02-22T00:00:00.000000000;126.0;588.5;
2021-02-23T00:00:00.000000000;125.86;572.98;
2021-02-24T00:00:00.000000000;125.35;616.67;
2021-02-25T00:00:00.000000000;120.99;561.23;
2021-02-26T00:00:00.000000000;121.26;554.24;
2021-03-01T00:00:00.000000000;127.79;590.64;
2021-03-02T00:00:00.000000000;125.12;561.32;
2021-03-03T00:00:00.000000000;122.06;531.14;
2021-03-04T00:00:00.000000000;120.13;501.31;
2021-03-05T00:00:00.000000000;121.42;476.53;
2021-03-08T00:00:00.000000000;116.36;446.64;
2021-03-09T00:00:00.000000000;121.09;552.49;
2021-03-10T00:00:00.000000000;119.98;548.08;
2021-03-11T00:00:00.000000000;121.96;577.64;
2021-03-12T00:00:00.000000000;121.03;572.7;
