AMZN;GOOGL;
2020-01-13T00:00:00.000000000;1891.3;1440.03;
2020-01-14T00:00:00.000000000;1869.44;1430.59;
2020-01-15T00:00:00.000000000;1862.02;1439.2;
2020-01-16T00:00:00.000000000;1877.94;1450.16;
2020-01-17T00:00:00.000000000;1864.72;1479.52;
2020-01-21T00:00:00.000000000;1892.0;1482.25;
2020-01-22T00:00:00.000000000;1887.46;1483.87;
2020-01-23T00:00:00.000000000;1884.58;1484.69;
2020-01-24T00:00:00.000000000;1861.64;1466.17;
2020-01-27T00:00:00.000000000;1828.34;1431.73;
2020-01-28T00:00:00.000000000;1853.25;1450.5;
2020-01-29T00:00:00.000000000;1858.0;1456.7;
2020-01-30T00:00:00.000000000;1870.68;1454.25;
2020-01-31T00:00:00.000000000;2008.72;1432.78;
2020-02-03T00:00:00.000000000;2004.2;1482.6;
2020-02-04T00:00:00.000000000;2049.67;1445.41;
2020-02-05T00:00:00.000000000;2039.87;1446.05;
2020-02-06T00:00:00.000000000;2050.23;1475.97;
2020-02-07T00:00:00.000000000;2079.28;1479.11;
2020-02-10T00:00:00.000000000;2133.91;1508.66;
2020-02-11T00:00:00.000000000;2150.8;1510.06;
2020-02-12T00:00:00.000000000;2160.0;1518.63;
2020-02-13T00:00:00.000000000;2149.87;1513.39;
2020-02-14T00:00:00.000000000;2134.87;1518.73;
2020-02-18T00:00:00.000000000;2155.67;1519.44;
2020-02-19T00:00:00.000000000;2170.22;1524.87;
2020-02-20T00:00:00.000000000;2153.1;1516.99;
2020-02-21T00:00:00.000000000;2095.97;1483.46;
2020-02-24T00:00:00.000000000;2009.29;1419.86;
2020-02-25T00:00:00.000000000;1972.74;1386.32;
2020-02-26T00:00:00.000000000;1979.59;1390.47;
2020-02-27T00:00:00.000000000;1884.3;1314.95;
2020-02-28T00:00:00.000000000;1883.75;1339.25;
2020-03-02T00:00:00.000000000;1953.95;1386.32;
2020-03-03T00:00:00.000000000;1908.99;1337.72;
2020-03-04T00:00:00.000000000;1975.83;1381.6;
2020-03-05T00:00:00.000000000;1924.03;1314.76;
2020-03-06T00:00:00.000000000;1901.09;1295.74;
2020-03-09T00:00:00.000000000;1800.61;1215.79;
2020-03-10T00:00:00.000000000;1891.82;1275.17;
2020-03-11T00:00:00.000000000;1820.86;1210.9;
2020-03-12T00:00:00.000000000;1676.61;1111.55;
2020-03-13T00:00:00.000000000;1785.0;1214.27;
2020-03-16T00:00:00.000000000;1689.15;1073.0;
2020-03-17T00:00:00.000000000;1807.84;1118.06;
2020-03-18T00:00:00.000000000;1830.0;1091.19;
2020-03-19T00:00:00.000000000;1880.93;1111.67;
2020-03-20T00:00:00.000000000;1846.09;1068.21;
2020-03-23T00:00:00.000000000;1902.83;1054.13;
2020-03-24T00:00:00.000000000;1940.1;1130.01;
2020-03-25T00:00:00.000000000;1885.84;1101.62;
2020-03-26T00:00:00.000000000;1955.49;1162.92;
2020-03-27T00:00:00.000000000;1900.1;1110.26;
2020-03-30T00:00:00.000000000;1963.95;1146.31;
2020-03-31T00:00:00.000000000;1949.72;1161.95;
2020-04-01T00:00:00.000000000;1907.7;1102.1;
2020-04-02T00:00:00.000000000;1918.83;1117.03;
2020-04-03T00:00:00.000000000;1906.59;1092.7;
2020-04-06T00:00:00.000000000;1997.59;1183.19;
2020-04-07T00:00:00.000000000;2011.6;1182.56;
2020-04-08T00:00:00.000000000;2043.0;1207.0;
2020-04-09T00:00:00.000000000;2042.76;1206.57;
2020-04-13T00:00:00.000000000;2168.87;1210.41;
2020-04-14T00:00:00.000000000;2283.32;1265.23;
2020-04-15T00:00:00.000000000;2307.68;1257.3;
2020-04-16T00:00:00.000000000;2408.19;1257.43;
2020-04-17T00:00:00.000000000;2375.0;1279.0;
2020-04-20T00:00:00.000000000;2393.61;1261.15;
2020-04-21T00:00:00.000000000;2328.12;1212.16;
2020-04-22T00:00:00.000000000;2363.49;1258.41;
2020-04-23T00:00:00.000000000;2399.45;1271.17;
2020-04-24T00:00:00.000000000;2410.22;1276.6;
2020-04-27T00:00:00.000000000;2376.0;1270.86;
2020-04-28T00:00:00.000000000;2314.08;1232.59;
2020-04-29T00:00:00.000000000;2372.71;1342.18;
2020-04-30T00:00:00.000000000;2474.0;1346.7;
2020-05-01T00:00:00.000000000;2286.04;1317.32;
2020-05-04T00:00:00.000000000;2315.99;1322.9;
2020-05-05T00:00:00.000000000;2317.8;1349.02;
2020-05-06T00:00:00.000000000;2351.26;1345.43;
2020-05-07T00:00:00.000000000;2367.61;1369.28;
2020-05-08T00:00:00.000000000;2379.61;1384.34;
2020-05-11T00:00:00.000000000;2409.0;1403.59;
2020-05-12T00:00:00.000000000;2356.95;1375.18;
2020-05-13T00:00:00.000000000;2367.92;1348.33;
2020-05-14T00:00:00.000000000;2388.85;1356.86;
2020-05-15T00:00:00.000000000;2409.78;1373.06;
2020-05-18T00:00:00.000000000;2426.26;1385.18;
2020-05-19T00:00:00.000000000;2449.33;1374.4;
2020-05-20T00:00:00.000000000;2497.94;1409.16;
2020-05-21T00:00:00.000000000;2446.74;1406.75;
2020-05-22T00:00:00.000000000;2436.88;1413.24;
2020-05-26T00:00:00.000000000;2421.86;1421.37;
2020-05-27T00:00:00.000000000;2410.39;1420.28;
2020-05-28T00:00:00.000000000;2401.1;1418.24;
2020-05-29T00:00:00.000000000;2442.37;1433.52;
2020-06-01T00:00:00.000000000;2471.04;1434.87;
2020-06-02T00:00:00.000000000;2472.41;1442.31;
2020-06-03T00:00:00.000000000;2478.4;1439.25;
2020-06-04T00:00:00.000000000;2460.6;1414.3;
2020-06-05T00:00:00.000000000;2483.0;1440.02;
2020-06-08T00:00:00.000000000;2524.06;1448.04;
2020-06-09T00:00:00.000000000;2600.86;1452.08;
2020-06-10T00:00:00.000000000;2647.45;1464.7;
2020-06-11T00:00:00.000000000;2557.96;1401.9;
2020-06-12T00:00:00.000000000;2545.02;1412.92;
2020-06-15T00:00:00.000000000;2572.68;1420.74;
2020-06-16T00:00:00.000000000;2615.27;1446.47;
2020-06-17T00:00:00.000000000;2640.98;1452.54;
2020-06-18T00:00:00.000000000;2653.98;1434.12;
2020-06-19T00:00:00.000000000;2675.01;1424.64;
2020-06-22T00:00:00.000000000;2713.82;1450.66;
2020-06-23T00:00:00.000000000;2764.41;1463.98;
2020-06-24T00:00:00.000000000;2734.4;1432.7;
2020-06-25T00:00:00.000000000;2754.58;1441.1;
2020-06-26T00:00:00.000000000;2692.87;1362.54;
2020-06-29T00:00:00.000000000;2680.38;1397.17;
2020-06-30T00:00:00.000000000;2758.82;1418.05;
2020-07-01T00:00:00.000000000;2878.7;1442.0;
2020-07-02T00:00:00.000000000;2890.3;1469.93;
2020-07-06T00:00:00.000000000;3057.04;1499.65;
2020-07-07T00:00:00.000000000;3000.12;1489.92;
2020-07-08T00:00:00.000000000;3081.11;1503.6;
2020-07-09T00:00:00.000000000;3182.63;1518.66;
2020-07-10T00:00:00.000000000;3200.0;1539.01;
2020-07-13T00:00:00.000000000;3104.0;1512.23;
2020-07-14T00:00:00.000000000;3084.0;1520.86;
2020-07-15T00:00:00.000000000;3008.87;1516.88;
2020-07-16T00:00:00.000000000;2999.9;1514.92;
2020-07-17T00:00:00.000000000;2961.97;1516.85;
2020-07-20T00:00:00.000000000;3196.84;1563.84;
2020-07-21T00:00:00.000000000;3138.29;1555.92;
2020-07-22T00:00:00.000000000;3099.91;1564.85;
2020-07-23T00:00:00.000000000;2986.55;1516.75;
2020-07-24T00:00:00.000000000;3008.91;1508.21;
2020-07-27T00:00:00.000000000;3055.21;1529.43;
2020-07-28T00:00:00.000000000;3000.33;1503.65;
2020-07-29T00:00:00.000000000;3033.53;1523.51;
2020-07-30T00:00:00.000000000;3051.88;1538.37;
2020-07-31T00:00:00.000000000;3164.68;1487.95;
2020-08-03T00:00:00.000000000;3111.89;1482.76;
2020-08-04T00:00:00.000000000;3138.83;1473.3;
2020-08-05T00:00:00.000000000;3205.03;1479.09;
2020-08-06T00:00:00.000000000;3225.0;1504.95;
2020-08-07T00:00:00.000000000;3167.46;1498.37;
2020-08-10T00:00:00.000000000;3148.16;1496.82;
2020-08-11T00:00:00.000000000;3080.67;1480.54;
2020-08-12T00:00:00.000000000;3162.24;1507.24;
2020-08-13T00:00:00.000000000;3161.02;1516.65;
2020-08-14T00:00:00.000000000;3148.02;1504.63;
2020-08-17T00:00:00.000000000;3182.41;1516.24;
2020-08-18T00:00:00.000000000;3312.49;1555.78;
2020-08-19T00:00:00.000000000;3260.48;1544.61;
2020-08-20T00:00:00.000000000;3297.37;1576.25;
2020-08-21T00:00:00.000000000;3284.72;1575.57;
2020-08-24T00:00:00.000000000;3307.46;1585.15;
2020-08-25T00:00:00.000000000;3346.49;1605.85;
2020-08-26T00:00:00.000000000;3441.85;1644.13;
2020-08-27T00:00:00.000000000;3400.0;1628.52;
2020-08-28T00:00:00.000000000;3401.8;1639.43;
2020-08-31T00:00:00.000000000;3450.96;1629.53;
2020-09-01T00:00:00.000000000;3499.12;1655.08;
2020-09-02T00:00:00.000000000;3531.45;1717.39;
2020-09-03T00:00:00.000000000;3368.0;1629.51;
2020-09-04T00:00:00.000000000;3294.62;1581.21;
2020-09-08T00:00:00.000000000;3149.84;1523.6;
2020-09-09T00:00:00.000000000;3268.61;1547.23;
2020-09-10T00:00:00.000000000;3175.11;1526.05;
2020-09-11T00:00:00.000000000;3116.22;1515.76;
2020-09-14T00:00:00.000000000;3102.97;1508.83;
2020-09-15T00:00:00.000000000;3156.13;1535.12;
2020-09-16T00:00:00.000000000;3078.1;1512.09;
2020-09-17T00:00:00.000000000;3008.73;1487.04;
2020-09-18T00:00:00.000000000;2954.91;1451.09;
2020-09-21T00:00:00.000000000;2960.47;1430.14;
2020-09-22T00:00:00.000000000;3128.99;1459.82;
2020-09-23T00:00:00.000000000;2999.86;1409.39;
2020-09-24T00:00:00.000000000;3019.79;1422.86;
2020-09-25T00:00:00.000000000;3095.13;1439.06;
2020-09-28T00:00:00.000000000;3174.05;1458.66;
2020-09-29T00:00:00.000000000;3144.88;1466.02;
2020-09-30T00:00:00.000000000;3148.73;1465.6;
2020-10-01T00:00:00.000000000;3221.26;1487.9;
2020-10-02T00:00:00.000000000;3125.0;1455.6;
2020-10-05T00:00:00.000000000;3199.2;1482.83;
2020-10-06T00:00:00.000000000;3099.96;1451.02;
2020-10-07T00:00:00.000000000;3195.69;1459.14;
2020-10-08T00:00:00.000000000;3190.55;1483.43;
2020-10-09T00:00:00.000000000;3286.65;1510.45;
2020-10-12T00:00:00.000000000;3442.93;1564.59;
2020-10-13T00:00:00.000000000;3443.63;1567.07;
2020-10-14T00:00:00.000000000;3363.71;1563.44;
2020-10-15T00:00:00.000000000;3338.65;1555.47;
2020-10-16T00:00:00.000000000;3272.71;1567.7;
2020-10-19T00:00:00.000000000;3207.21;1529.95;
2020-10-20T00:00:00.000000000;3217.01;1551.08;
2020-10-21T00:00:00.000000000;3184.94;1585.99;
2020-10-22T00:00:00.000000000;3176.4;1606.66;
2020-10-23T00:00:00.000000000;3204.4;1632.98;
2020-10-26T00:00:00.000000000;3207.04;1584.29;
2020-10-27T00:00:00.000000000;3286.33;1598.88;
2020-10-28T00:00:00.000000000;3162.78;1510.8;
2020-10-29T00:00:00.000000000;3211.01;1556.88;
2020-10-30T00:00:00.000000000;3036.15;1616.11;
2020-11-02T00:00:00.000000000;3004.48;1624.32;
2020-11-03T00:00:00.000000000;3048.41;1645.66;
2020-11-04T00:00:00.000000000;3241.16;1745.85;
2020-11-05T00:00:00.000000000;3322.0;1762.5;
2020-11-06T00:00:00.000000000;3311.37;1759.73;
2020-11-09T00:00:00.000000000;3143.74;1761.42;
2020-11-10T00:00:00.000000000;3035.02;1737.72;
2020-11-11T00:00:00.000000000;3137.39;1747.23;
2020-11-12T00:00:00.000000000;3110.28;1742.82;
2020-11-13T00:00:00.000000000;3128.81;1772.26;
2020-11-16T00:00:00.000000000;3131.06;1774.03;
2020-11-17T00:00:00.000000000;3135.66;1761.66;
2020-11-18T00:00:00.000000000;3105.46;1740.64;
2020-11-19T00:00:00.000000000;3117.02;1758.57;
2020-11-20T00:00:00.000000000;3099.4;1736.38;
2020-11-23T00:00:00.000000000;3098.39;1727.56;
2020-11-24T00:00:00.000000000;3118.06;1763.9;
2020-11-25T00:00:00.000000000;3185.07;1764.13;
2020-11-27T00:00:00.000000000;3195.34;1787.02;
2020-11-30T00:00:00.000000000;3168.04;1754.4;
2020-12-01T00:00:00.000000000;3220.08;1795.36;
2020-12-02T00:00:00.000000000;3203.53;1824.97;
2020-12-03T00:00:00.000000000;3186.73;1821.84;
2020-12-04T00:00:00.000000000;3162.58;1823.76;
2020-12-07T00:00:00.000000000;3158.0;1817.03;
2020-12-08T00:00:00.000000000;3177.29;1811.33;
